epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,798.393,0.98453,1.82048,1.01554,0.84032,0.86982,0.89893,0.67109,0.87608,2.1533,0.91634,0.000659722,0.000659722,0.000659722
2,1601.99,0.97796,1.10155,1.00066,0.9555,0.84024,0.94879,0.70544,0.973,1.17202,0.99274,0.00130013,0.00130013,0.00130013
3,2353.42,0.95728,0.87422,1.00084,0.93475,0.91716,0.95772,0.71971,0.88496,1.54273,0.95336,0.00191413,0.00191413,0.00191413
4,3071.62,0.92583,0.75349,0.98786,0.97534,0.93606,0.9723,0.74176,0.8763,0.78012,0.9438,0.0018812,0.0018812,0.0018812
5,3802.64,0.90157,0.70449,0.98105,0.98029,0.95266,0.99035,0.79655,0.79128,0.62689,0.93338,0.0018416,0.0018416,0.0018416
6,4628.36,0.85525,0.614,0.96418,0.97069,0.97972,0.99329,0.77836,0.83619,0.56279,0.94426,0.001802,0.001802,0.001802
7,5366.62,0.85922,0.59264,0.97201,0.96395,0.94936,0.98192,0.78159,0.77586,0.57646,0.92673,0.0017624,0.0017624,0.0017624
8,6098.62,0.84659,0.56896,0.9563,0.99362,0.98817,0.99413,0.8092,0.75192,0.51409,0.94293,0.0017228,0.0017228,0.0017228
9,6888.12,0.79814,0.5369,0.94604,0.97712,0.97041,0.99183,0.80787,0.77317,0.50106,0.89294,0.0016832,0.0016832,0.0016832
10,7660.35,0.81106,0.54021,0.94688,0.94528,0.99408,0.99036,0.81009,0.71951,0.52498,0.89239,0.0016436,0.0016436,0.0016436
11,8414.72,0.80153,0.53305,0.94419,0.96999,0.95625,0.98655,0.78823,0.77501,0.48624,0.90236,0.001604,0.001604,0.001604
12,9276.02,0.77675,0.51394,0.92847,0.97082,0.98225,0.99364,0.80977,0.76295,0.48135,0.92335,0.0015644,0.0015644,0.0015644
13,10135.2,0.7698,0.48689,0.9351,0.99053,0.98817,0.99429,0.83056,0.72187,0.43613,0.89335,0.0015248,0.0015248,0.0015248
14,10951,0.78419,0.50807,0.93437,0.98795,0.97022,0.99164,0.82893,0.7024,0.46547,0.88601,0.0014852,0.0014852,0.0014852
15,11725.6,0.74361,0.48019,0.92472,0.99301,0.99408,0.98997,0.82629,0.68197,0.44446,0.89566,0.0014456,0.0014456,0.0014456
16,12466.5,0.73605,0.4811,0.9241,0.98071,0.99408,0.99252,0.83416,0.69195,0.42767,0.9139,0.001406,0.001406,0.001406
17,13188.8,0.7418,0.4641,0.92622,0.98803,0.98817,0.9943,0.82853,0.70433,0.39223,0.89905,0.0013664,0.0013664,0.0013664
18,13905.5,0.73774,0.45566,0.91306,0.98708,0.99408,0.99411,0.83157,0.70339,0.41434,0.89261,0.0013268,0.0013268,0.0013268
19,14664.9,0.7144,0.45883,0.90805,0.98055,0.99408,0.99224,0.83095,0.67733,0.41535,0.89011,0.0012872,0.0012872,0.0012872
20,15505.3,0.72816,0.45511,0.92012,0.99397,0.97512,0.99047,0.81343,0.73324,0.44998,0.88351,0.0012476,0.0012476,0.0012476
21,16283.4,0.71026,0.43999,0.91132,0.98801,0.97496,0.99374,0.8489,0.6516,0.39394,0.87475,0.001208,0.001208,0.001208
22,17127.6,0.70952,0.44194,0.91114,0.99017,0.98225,0.98829,0.82427,0.66732,0.42148,0.86762,0.0011684,0.0011684,0.0011684
23,17992.2,0.704,0.42755,0.91204,0.98666,1,0.99452,0.8563,0.62847,0.37111,0.87097,0.0011288,0.0011288,0.0011288
24,18806.4,0.70933,0.43318,0.91094,0.98238,0.98968,0.99066,0.83393,0.67294,0.40234,0.85743,0.0010892,0.0010892,0.0010892
25,19555.5,0.68604,0.41881,0.90023,0.98106,0.98817,0.99429,0.84872,0.62172,0.37169,0.86206,0.0010496,0.0010496,0.0010496
26,20292.4,0.67105,0.40906,0.89859,0.99027,0.98225,0.99046,0.84318,0.63387,0.37527,0.85923,0.00101,0.00101,0.00101
27,21019.6,0.67121,0.40312,0.89767,0.97467,0.98817,0.99317,0.84125,0.66763,0.39136,0.87155,0.0009704,0.0009704,0.0009704
28,21806,0.66497,0.40399,0.89193,0.99404,0.98683,0.99276,0.85559,0.61026,0.35101,0.85915,0.0009308,0.0009308,0.0009308
29,22592.6,0.67975,0.41289,0.90396,0.98179,0.98225,0.98905,0.84542,0.62539,0.39754,0.85673,0.0008912,0.0008912,0.0008912
30,23453.4,0.65562,0.39444,0.89323,0.9882,0.99141,0.99361,0.85699,0.60078,0.34647,0.84414,0.0008516,0.0008516,0.0008516
31,24348.1,0.64709,0.38353,0.88276,0.98654,0.98817,0.99436,0.83308,0.63088,0.35858,0.84696,0.000812,0.000812,0.000812
32,25246.1,0.64558,0.38252,0.88587,0.9824,0.99408,0.99173,0.85296,0.60098,0.33697,0.85034,0.0007724,0.0007724,0.0007724
33,26223.4,0.64147,0.38489,0.88333,0.98731,0.98817,0.99399,0.8632,0.60326,0.34542,0.85413,0.0007328,0.0007328,0.0007328
34,27128.2,0.63711,0.372,0.88806,0.98822,0.99309,0.99165,0.85143,0.60087,0.34133,0.84485,0.0006932,0.0006932,0.0006932
35,28201.7,0.61305,0.37281,0.88109,0.98244,0.99305,0.9941,0.8582,0.59778,0.34449,0.84318,0.0006536,0.0006536,0.0006536
36,29281.7,0.61115,0.3596,0.8821,0.98809,0.98182,0.9924,0.85422,0.6019,0.35135,0.8419,0.000614,0.000614,0.000614
37,32359.6,0.61701,0.3578,0.88094,0.98607,0.99408,0.99422,0.85475,0.63397,0.32686,0.85007,0.0005744,0.0005744,0.0005744
38,34344.3,0.61694,0.3558,0.87801,0.99201,0.99408,0.98985,0.86129,0.57118,0.3029,0.83723,0.0005348,0.0005348,0.0005348
39,35833.1,0.61722,0.35276,0.87592,0.99405,0.98787,0.98972,0.84314,0.65384,0.3353,0.84746,0.0004952,0.0004952,0.0004952
40,37619.5,0.6058,0.35725,0.87418,0.98743,0.99408,0.99369,0.85581,0.59715,0.32021,0.84083,0.0004556,0.0004556,0.0004556
41,39574.9,0.56353,0.31763,0.84513,0.99408,0.99306,0.9924,0.85182,0.62434,0.32776,0.8455,0.000416,0.000416,0.000416
42,41307.5,0.55498,0.31575,0.85416,0.99362,0.99408,0.99334,0.83975,0.64114,0.32576,0.84748,0.0003764,0.0003764,0.0003764
43,42944.1,0.56434,0.30949,0.84474,0.9936,0.99408,0.9937,0.85013,0.62368,0.32004,0.84623,0.0003368,0.0003368,0.0003368
44,44451.8,0.54044,0.29845,0.83483,0.99327,0.99408,0.99411,0.86154,0.59008,0.30567,0.84077,0.0002972,0.0002972,0.0002972
